Territori,Tipus de territori,2015,2016,2017,2018,2019,2020,2021,2022
Sant Andreu,Barri,20169.27,20387.09,20228.72,20628.16,21465.13,20229.26,21755.29,22298.26
el Raval,Barri,11582.85,11744.46,12304.55,12516.14,12890.24,11328.72,12755.31,14013.53
el Barri Gòtic,Barri,15432.66,15865.7,16454.49,16785.4,17666.33,16133.33,17320.57,19101.56
la Barceloneta,Barri,15067.6,15302.62,15608.86,15940.12,16668.72,15133.91,16929.94,18033.89
"Sant Pere, Santa Caterina i la Ribera",Barri,15789.53,16601.98,17364.92,17959.93,18729.79,16936.26,18144.47,19649.38
el Fort Pienc,Barri,21298,21828.29,22142.72,22313.68,23499.35,21670.72,23060.08,24258.33
la Sagrada Família,Barri,21216.03,21588.95,21579.57,21933.38,22819.22,21221.8,22516.17,23422.57
la Dreta de l'Eixample,Barri,26290.39,28385.99,28774.33,28784.91,30797.68,27609.15,27592.37,29646.33
l'Antiga Esquerra de l'Eixample,Barri,24517.58,25614.24,26307.57,26756.35,27932.04,26117.59,26678.53,28258.9
la Nova Esquerra de l'Eixample,Barri,23298.78,23891.63,24130.76,24457.8,25642.55,23961.74,25191.47,26115.19
Sant Antoni,Barri,20629.26,21376.69,21679.58,21741.51,22899.17,21158.95,22507.88,23629.28
el Poble Sec - AEI Parc de Montjuïc,Barri,15179.67,15412.13,15765.2,15989.46,16758.59,15448.27,16991.01,18226.3
la Marina del Prat Vermell - AEI Zona Franca,Barri,12283.88,12603.55,13202.28,13297.9,13346.01,13510.26,15058.2,16015.19
la Marina de Port,Barri,16096.49,16224.05,16145.2,16429.23,16977.18,15880.76,17488.06,18157
la Font de la Guatlla,Barri,19322.39,19458.98,19734.06,19898.11,20699.62,19583.32,20751.22,21869.89
Hostafrancs,Barri,18436.52,18785.49,18885.87,19037,19924.46,18459.13,19884.57,20875.92
la Bordeta,Barri,18620.97,18920.03,19028.79,19218.02,20238.91,18973.1,20494.21,21291.58
Sants - Badal,Barri,18487.81,18465.05,18448.94,18968.19,19539.01,18274.88,19867.28,20393.86
Sants,Barri,20228.54,20640.99,20679.42,21211.92,21958.45,20608.08,21991.06,22802.63
les Corts,Barri,26166.14,27451.21,27454.99,27766.85,29232.84,27317.46,27899.74,29037.01
la Maternitat i Sant Ramon,Barri,23743.77,24809.03,24771.85,25105.56,26549.69,24504.28,25426.14,26063.61
Pedralbes,Barri,34341.28,37152.42,37931.29,38877.84,40621.06,37577.37,35239.84,38254.28
"Vallvidrera, el Tibidabo i les Planes",Barri,23718.46,26417.61,25836.87,26350.54,30221.38,25505.27,26731.41,29132.32
Sarrià,Barri,30076.66,32669.86,33745.32,34946.95,37227.84,33591.85,32987.45,35473.75
les Tres Torres,Barri,35613.4,38538.03,40235.78,40852.59,43599.08,39685.37,37915.24,41429.9
Sant Gervasi - la Bonanova,Barri,30629.3,32964.75,34651.54,35322.36,38145.47,34533.27,34085.85,36141.71
Sant Gervasi - Galvany,Barri,31331.81,33818.69,35293.83,36116.58,38187.27,34610.76,33774.9,36082.31
el Putxet i el Farró,Barri,26217.04,27939.45,28460.63,28850.66,30433.68,27833.14,28805.06,29681.34
Vallcarca i els Penitents,Barri,24118.44,24846.78,24600.95,24961,25878.81,24223.46,25280.94,26659.17
el Coll,Barri,18940.73,19159.01,19424.79,19550.3,20983.6,19326.13,20531.82,21483.05
la Salut,Barri,23077.16,23526.51,23969.65,24016.15,25502.7,23822.4,24935.35,25695.33
la Vila de Gràcia,Barri,21075.03,21871.37,22273.87,22852.12,24081.22,22757.08,23723.28,24787.33
el Camp d'en Grassot i Gràcia Nova,Barri,23023.63,23726.42,23672.86,23913.04,25398.17,23549.28,24780.85,25700
el Baix Guinardó,Barri,20444.31,20683.82,20491.97,20842.24,22034.34,20392.12,21785.06,22570.27
Can Baró,Barri,18685.07,18871.08,19062.85,19174.03,20084.87,19132.4,20350.41,20805.27
el Guinardó,Barri,19799.29,20157.22,20034.33,20254.52,21182.93,19812.7,21154.01,21832.11
la Font d'en Fargues,Barri,22840.47,24089.31,23846.19,23566.94,24982.5,23637.55,24998,26139.01
el Carmel,Barri,14435.76,14585.81,14677.27,15025.94,15528.45,14389.81,15785.09,16378.47
la Teixonera,Barri,16211.49,16376.21,16447.12,16590.13,16983.74,15979.37,17328.35,17896.84
Sant Genís dels Agudells,Barri,17442.67,17013.36,17506.59,17687.6,17845.13,16805.89,18057.49,18483.88
Montbau,Barri,19036.05,18870.6,18692.87,18995.84,19803.78,18588.06,20027.29,20734.76
la Vall d'Hebron,Barri,21565.95,22440.44,22196.18,22371.86,23183.08,22347.99,22833.7,23916.44
la Clota,Barri,17412.04,19303.99,18151.84,19045.42,19283.41,18627.54,20465.15,20747.18
Horta,Barri,18883.13,19275.35,19455.81,19772.23,20438.14,19576.22,20656.28,21333.72
Vilapicina i la Torre Llobeta,Barri,18380.34,18589.45,18404.23,18678.18,19457.63,18228.19,19653.1,20147.02
Porta,Barri,16626.77,16700.01,16568.99,16817.19,17278.53,16263.43,17516.34,18261.12
el Turó de la Peira,Barri,13680.36,13765.25,13696.06,14043.72,14365.6,13368.07,14596.08,15389.56
Can Peguera,Barri,12279.76,12580.32,12696.04,13114.13,13296.01,12368.81,13812.34,14750.68
la Guineueta,Barri,18437.22,18440.04,18484.18,18786.93,19319.53,18414.11,19813.83,20360.64
Canyelles,Barri,17072.8,17235.92,16926.72,17294.82,18053.21,17002.46,18505.32,19248.63
les Roquetes,Barri,12570.06,12591.26,12756.31,12807.88,13129.41,12278.92,13460.75,13978.19
Verdun,Barri,13603.88,13597.99,13664.03,13920.6,14185,13311.04,14593.25,15176.92
la Prosperitat,Barri,15122.6,15069,15121.46,15370.63,15915.87,14919.27,16288.46,16866.13
la Trinitat Nova,Barri,11443.94,11611.25,11853.35,11975.89,12387.41,11670.38,13014,13799.63
Torre Baró,Barri,10626.16,10550.88,10917.43,11378.26,11721.48,10979.77,12536.32,12862.16
Ciutat Meridiana,Barri,10502.69,10221.84,10322.2,10682.05,10796.18,9971.07,11178.78,11788.88
Vallbona,Barri,11475.06,11511.45,11606.79,12332.4,12423.23,11481.06,12890.96,13419.55
la Trinitat Vella,Barri,11562.94,11723.42,11849.02,11993.83,12213.91,11345.18,12595.65,13212.39
Baró de Viver,Barri,11012.75,11420.06,11516.52,11950.3,12018.84,11456.21,12793.35,13670.37
el Bon Pastor,Barri,14702.48,14950.83,15019.52,15306.73,15780.44,14578.12,16155.57,16534.38
la Sagrera,Barri,18750.58,19019.74,18940.8,19069.75,19810.22,18822.62,20067.71,20651.58
el Congrés i els Indians,Barri,18701.29,18899.24,18889.78,19153.54,20059.19,18611.17,20345.82,20819.36
Navas,Barri,18948.46,19333.89,19274.88,19618.21,20330.62,19228.18,20737.54,21368.11
el Camp de l'Arpa del Clot,Barri,19679.26,20067.77,19996.1,20202.74,20906.5,19883.31,21214.77,22333.93
el Clot,Barri,19251.65,19697.53,19513.57,19994.13,20672.93,19371.7,21373.46,22019.65
el Parc i la Llacuna del Poblenou,Barri,20116.47,20549.7,20649.18,20688.48,21749.79,20659.24,21972.87,23143.97
la Vila Olímpica del Poblenou,Barri,30329.54,30939.54,30653.65,30739.18,32381.23,29437.66,30480.66,32487.08
el Poblenou,Barri,20540.82,20928.67,21110.95,21307.05,22701.67,21330.65,22829.15,24026.14
Diagonal Mar i el Front Marítim del Poblenou,Barri,23445.7,24177.91,23737.44,24296.67,25912.38,24410.07,24748.28,26064.51
el Besòs i el Maresme,Barri,12693.6,12771.06,12823.29,12993.34,13336.54,12417.51,13831.55,14545.49
Provençals del Poblenou,Barri,18485.73,19098.93,19070.65,19162.61,19923.45,18742.49,20151.19,20871.09
Sant Martí de Provençals,Barri,17746.46,17887.96,17930.88,18083.21,18836.73,17568.52,19012.4,19636.85
la Verneda i la Pau,Barri,16075.15,16239.65,16119.84,16289.65,16950.9,15910.03,17297.13,17907.45
